EMPTY\,name,fh_shortname,account_tier,lead_id,location_city,location_country,location_region,fh_site
EMPTY\,lobosonda.com,lobosondamadeira,3,lead_80Wo70x1Nx9pnb07TAxPcS4H6NSuQaeGNlvvQ4wAXsx,Funchal,Portugal,EMEA,Yes
EMPTY\,weetoasttours.com,weetoasttourslondon,2,lead_x4m8vwuTIHBHMoAd46i2YJalAkMqzgVO089dnUbwrj2,Belfast,United Kingdom,EMEA,Yes
EMPTY\,copenhagenbymie.com,copenhagenbymieandfriends,2,lead_vofQlMBvqxBjbPGTRtavqd8gmoXQnXY80UIE0QhkwWs,Copenhagen,Denmark,EMEA,Yes
EMPTY\,olliestours.com,olliestours,2,lead_OT9zSBYlZSSisB56IniSFqtR0MuHqqK1b6gsz4mh7XY,Ennis,Ireland,EMEA,Yes
EMPTY\,thechallengemallorca.com,thechallengemallorca,2,lead_ml1aL6XE9N0qjMT5L94q0ayOmJbqywBsxsfxI1PAMcr,Alcudia,Spain,EMEA,Yes
EMPTY\,escapewindsor.co.uk,escapewindsor,3,lead_a2KmInpN5Yfam5YJDiudWn8wZG5963qIq6ZUUH6LNoS,Windsor,United Kingdom,EMEA,Yes
EMPTY\,comoclassicboats.com,comoclassicboats,4,lead_qhwgsf7JpsgajX6YCduNTXsSZ6kITH4LCZbafbPSyQL,Lake Como,Italy,EMEA,Yes
EMPTY\,canaltrips.co.uk,skiptonboattrips,3,lead_X9UAhOw2RaGgqmaBRo1LoLEVa87Rrjei23eskejfvMy,Skipton,United Kingdom,EMEA,Yes
EMPTY\,westernislescruises.co.uk,westernislescruises,3,lead_cmukqexuiEI5Fg7If6ZQmikWC6MYBmStvnvhIPL2dc0,Mallaig,United Kingdom,EMEA,Yes
EMPTY\,papillons.lu,papillons,2,lead_C1fIGlc0Tr5qYyqxcpG2FLLbWcS7U0F4CQtNYO5A8NA,Grevenmacher,Luxembourg,EMEA,Yes
EMPTY\,irlandaenespanol.com,irlandaenespanol,3,lead_rs6LZN1QcdsDqhwKJJPD2EugNvpyLI87JbAn93PEbYD,Dublin,Ireland,EMEA,Yes
EMPTY\,ambushactivities.co.uk,ambushactivities,2,lead_ismH1g7OwYT5iNqQKiTsAENHOlibPIl3UCp4OBfiipK,Southampton,United Kingdom,EMEA,Yes
EMPTY\,fancy2.com,fancy2,2,lead_bGbo1iZJWzJt0cGMFMfYBVnvrUtKs4rULqTt1am97Kq,Santa Cruz de Tenerife,Spain,EMEA,Yes
EMPTY\,walksinistanbul.com,walksineurope,4,lead_DxaIepLXUzpY2aIOrr1IjPq27MGJYQYhVHIvmuCN8Q9,Tallinn,Estonia,EMEA,Yes
